Product Number,Product Name,Status
301.633.02,,FALSE
603.420.53,,TRUE
103.823.48,,TRUE
903.408.06-2,,FALSE
1399.221.25,,FALSE
1399.221.252,,FALSE
1399.195.97,,FALSE
1399.209.66,,FALSE
002.494.92-1,,FALSE
002.494.92-2,,FALSE
002.606.01,,FALSE
002.665.04-1,,FALSE
002.665.04-2,,FALSE
002.665.04-3,,FALSE
002.749.24-1,,FALSE
002.749.24-2,,FALSE
003.598.24-1,,FALSE
003.598.24-2,,FALSE
004.550.81,,TRUE
004.717.26-1,,FALSE
102.787.14-1,,FALSE
102.787.14-2,,FALSE
103.469.54-1,,FALSE
103.469.54-2,,FALSE
103.546.23-1,,FALSE
103.911.35-1,,FALSE
103.911.35-2,,FALSE
104.395.66-1,,FALSE
201.583.20-1,,FALSE
201.583.20-2,,FALSE
202.494.86-1,,FALSE
202.494.86-2,,FALSE
203.546.65-1,,FALSE
203.546.65-2,,FALSE
204.004.79-1,,FALSE
204.004.79-2,,TRUE
204.417.81-1,,FALSE
204.417.81-2,,FALSE
301.606.24-1,,FALSE
301.606.24-2,,FALSE
105.302.64-1,,FALSE
105.302.64-2,,FALSE
303.546.22-1,,FALSE
